"","V1","V2"
"751",115.02,-8.18
"752",99,2
"753",117,6
"754",101,-1
"755",100.23,-2.93
"756",103,-3
"757",115,3
"758",119.69,-5.31
"759",128,1
"760",128.18,-3.71
"761",117.27,-8.63
"762",119.07,-9.66
"763",124.26,-8.22
"764",126,-9
"765",123.18,-10.71
"766",121,-2
"767",130.96,-8.19
"768",122.85,-8.33
"769",133.07,-5.58
"770",120,-10
"771",134,-24
"772",132,-22
"773",134.32,-12.29
"774",142,-15
"775",136.6,-13.99
"776",135.96,-12.48
"777",130.81,-11.56
"778",138,-28
"779",118,-21
"780",142,-14
"781",130,-14
"782",146,-42
"783",146,-32
"784",136,-4
"785",147,-9
"786",144,-6
"787",142,-4
"788",143,-9
"789",143.09,-3.79
"790",143,-6
"791",145,-6
"792",138.46,-7.52
"793",139,-8
"794",146.53,-6.15
"795",147,-9
"796",149,-10
"797",147,-9
"798",141,-6
"799",148,-9
"800",147,-8
"801",146,-6
"802",144.34,-4.56
"803",147.26,-6.69
"804",145.03,-4.08
"805",144,-4
"806",135,-4
"807",145,-6
"808",147,-6
"809",138,-2
"810",139.6,-2.34
"811",143,-4
"812",140,-3
"813",141,-5
"814",139,-4
"815",145.31,-7.82
"816",144.1,-3.24
"817",142,-9
"818",137.23,-2.14
"819",144,-6
"820",145,-7
"821",148,-9
"822",134.54,7.45
"823",144.46,7.25
"824",138.13,9.55
"825",139.79,10.02
"826",155,-6
"827",147,-2
"828",154.14,-11.36
"829",156.52,-6.69
"830",142.85,-1.74
"831",149.91,-10.41
"832",150.05,-5.42
"833",150.33,-9.44
"834",149.53,-4.67
"835",161,-9
"836",151,-10
"837",151.09,-8.43
"838",159.82,-9.49
"839",154.91,-5.6
"840",151,-10
"841",161.44,-9.63
"842",150.81,-5.5
"843",157,-8
"844",147,-2
"845",167.7,-13.84
"846",169.44,-19.6
"847",168.17,-16.61
"848",169.16,-18.85
"849",168.15,-16.18
"850",178.32,-17.81
"851",167.47,-16.51
"852",168.22,-15.95
"853",-179.31,-17.74
"854",165.47,-21.37
"855",177.07,-12.5
"856",167.23,-20.94
"857",178.32,-17.81
"858",165.85,-10.73
"859",160.42,-11.74
"860",176.31,-38.41
"861",-134.97,-23.12
"862",-109.36,-27.12
"863",-141,63
"864",-146.49,60.72
"865",-170.3,63.34
"866",-152,68
"867",-64.63,65.24
"868",-70,78
"869",-117,63
"870",-119,65
"871",-120,61
"872",-124,54
"873",-157,71
"874",-135,66
"875",-96,63
"876",-82,70
"877",-65,58
"878",-37,66
"879",-51.22,68.66
"880",-144,62
"881",-131,58
"882",-123,56
"883",-117,58
"884",-110,69
"885",-105,60
"886",-85,51
"887",-72,48
"888",-98,52
"889",-94,52
"890",-88,50
"891",-96,49
"892",-92,49
"893",-92,46
"894",-85,46
"895",-128,59
"896",-82,46
"897",-65,47
"898",-85,44
"899",-96,69
"900",-76,62
"901",72,52
"902",-70,58
"903",-166,60
"904",-83,53
"905",-160,62
"906",-166.79,53.86
"907",-132,54
"908",-126,53
"909",-125.85,49.16
"910",-125,51
"911",-123,50
"912",-124.97,49.72
"913",-123.27,48.84
"914",-123,48
"915",-122,47
"916",-124.59,47.91
"917",-123.77,45.99
"918",-123,48
"919",-123.72,44.75
"920",-124,43
"921",-133.92,58.12
"922",-128,52
"923",-124.62,48.33
"924",-124.16,47.42
"925",-122.73,49.01
"926",-122,49
"927",-124,44
"928",-124,44
"929",-127.49,51
"930",-123,42
"931",-124,42
"932",-122,41
"933",-123,41
"934",-123,42
